route,page_type,index_recommendation,primary_intent,funnel_stage,primary_keyword_theme,location_target,current_title,recommended_title,current_h1,recommended_h1,content_score,conversion_score,action
/promotion/music-promotion-miami,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Miami: DJs, Clubs &amp; Radio",Miami,"Music Promotion Miami: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Miami,OK,7,6,keep
/promotion/music-promotion-nashville,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Nashville: DJs, Clubs &amp; Radio",Nashville,"Music Promotion Nashville: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Nashville,OK,7,6,keep
/promotion/music-promotion-new-orleans,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion New Orleans: DJs, Clubs &amp; Radio",New Orleans,"Music Promotion New Orleans: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in New Orleans,OK,7,6,keep
/promotion/music-promotion-new-york,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion New York: DJs, Clubs &amp; Radio",New York,"Music Promotion New York: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in New York,OK,7,6,keep
/promotion/music-promotion-oakland,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Oakland: DJs, Clubs &amp; Radio",Oakland,"Music Promotion Oakland: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Oakland,OK,7,6,keep
/promotion/music-promotion-philadelphia,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Philadelphia: DJs, Clubs &amp; Radio",Philadelphia,"Music Promotion Philadelphia: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Philadelphia,OK,7,6,keep
/promotion/music-promotion-washington-dc,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Music Promotion Washington DC: DJs, Clubs &amp; Radio",Washington Dc,"Music Promotion Washington DC: DJs, Clubs &amp; Radio | Digiwaxx",OK,Music Promotion in Washington DC,OK,7,6,keep
/promotion/reggae-promotion-miami,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Reggae &amp; Dancehall Promotion in Miami: DJs, Clubs &amp; ",Miami,"Reggae &amp; Dancehall Promotion in Miami: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Reggae &amp; Dancehall Promotion in Miami,OK,7,6,improve (title)
/promotion/reggae-promotion-new-york,Service+Location/Genre,index,Commercial,MOFU/BOFU,"Reggae &amp; Dancehall Promotion in New York: DJs, Clubs &am",New York,"Reggae &amp; Dancehall Promotion in New York: DJs, Clubs &amp; Radio | Digiwaxx","Trim below 60 chars, keep primary phrase first",Reggae &amp; Dancehall Promotion in New York,OK,7,6,improve (title)
/promotion/reggae-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Reggae Promotion: How Reggae Records Actually Break,National,Reggae Promotion: How Reggae Records Actually Break | Digiwaxx,OK,Reggae Promotion,OK,7,6,keep
/promotion/rnb-promotion-atlanta,Service+Location/Genre,index,Commercial,MOFU/BOFU,"R&amp;B Promotion in Atlanta: DJs, Clubs &amp; Radio",Atlanta,"R&amp;B Promotion in Atlanta: DJs, Clubs &amp; Radio | Digiwaxx",OK,R&amp;B Promotion in Atlanta,OK,7,6,keep
/promotion/rnb-promotion-chicago,Service+Location/Genre,index,Commercial,MOFU/BOFU,"R&amp;B Promotion in Chicago: DJs, Clubs &amp; Radio",Chicago,"R&amp;B Promotion in Chicago: DJs, Clubs &amp; Radio | Digiwaxx",OK,R&amp;B Promotion in Chicago,OK,7,6,keep
/promotion/rnb-promotion-dmv,Service+Location/Genre,index,Commercial,MOFU/BOFU,"R&amp;B Promotion in the DMV: DJs, Clubs &amp; Radio",Dmv,"R&amp;B Promotion in the DMV: DJs, Clubs &amp; Radio | Digiwaxx",OK,R&amp;B Promotion in the DMV,OK,7,6,keep
/promotion/rnb-promotion-houston,Service+Location/Genre,index,Commercial,MOFU/BOFU,"R&amp;B Promotion in Houston: DJs, Clubs &amp; Radio",Houston,"R&amp;B Promotion in Houston: DJs, Clubs &amp; Radio | Digiwaxx",OK,R&amp;B Promotion in Houston,OK,7,6,keep
/promotion/rnb-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,R&amp;B Promotion: How R&amp;B Records Actually Break,National,R&amp;B Promotion: How R&amp;B Records Actually Break | Digiwaxx,OK,R&amp;B Promotion,OK,6,6,keep
/promotion/spotify-playlist-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Spotify Playlist Promotion: The Independent Artist Playbook,National,Spotify Playlist Promotion: The Independent Artist Playbook | Digiwaxx,"Trim below 60 chars, keep primary phrase first",Spotify Playlist Promotion,OK,7,6,improve (title)
/promotion/tidal-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,Tidal Promotion: The Independent Artist Playbook,National,Tidal Promotion: The Independent Artist Playbook | Digiwaxx,OK,Tidal Promotion,OK,7,6,keep
/promotion/youtube-music-promotion,Service+Location/Genre,index,Commercial,MOFU/BOFU,YouTube Music Promotion: The Independent Artist Playbook,National,YouTube Music Promotion: The Independent Artist Playbook | Digiwaxx,"Trim below 60 chars, keep primary phrase first",YouTube Music Promotion,OK,7,6,improve (title)
/submit,Utility,noindex (correct),None,-,DIGIWAXX | Submit Your Music Files,-,DIGIWAXX | Submit Your Music Files,OK,Submit Your Music Files,OK,-,-,keep
/tools/artist-bio-generator,Free tool,index,Informational/Tool,MOFU,"Free Artist Bio Generator: Short, Medium &amp; Press Bios",National,"Free Artist Bio Generator: Short, Medium &amp; Press Bios | Digiwaxx","Trim below 60 chars, keep primary phrase first",Artist Bio Generator,OK,6,5,improve (title)
/tools/dj-pitch-generator,Free tool,index,Informational/Tool,MOFU,Free DJ Pitch Generator: Write a Pitch DJs Actually Read,National,Free DJ Pitch Generator: Write a Pitch DJs Actually Read | Digiwaxx,"Trim below 60 chars, keep primary phrase first",DJ Pitch Generator,OK,6,5,improve (title)
/tools/epk-builder,Free tool,index,Informational/Tool,MOFU,Free EPK Builder: One-Page Electronic Press Kit in Minutes,National,Free EPK Builder: One-Page Electronic Press Kit in Minutes | Digiwaxx,"Trim below 60 chars, keep primary phrase first",EPK Builder,OK,6,5,improve (title)
/tools/press-release-generator,Free tool,index,Informational/Tool,MOFU,Free Music Press Release Generator,National,Free Music Press Release Generator | Digiwaxx,OK,Press Release Generator,OK,6,5,keep
/tools/release-budget-calculator,Free tool,index,Informational/Tool,MOFU,Free Release Budget Calculator for Independent Artists,National,Free Release Budget Calculator for Independent Artists | Digiwaxx,OK,Release Budget Calculator,OK,5,5,keep
/tools/release-day-checklist,Free tool,index,Informational/Tool,MOFU,Free Interactive Release Day Checklist for Artists,National,Free Interactive Release Day Checklist for Artists | Digiwaxx,OK,Release Day Checklist,OK,6,5,keep
/university,Content hub,index,Navigational,MOFU,"Digiwaxx University | Music Promotion Guides, Answers & Tool",National,"Digiwaxx University | Music Promotion Guides, Answers & Tools",OK,Digiwaxx  University,OK,7,5,keep
